za 12 okt 2019 1:45:01 CEST , 2 Beschikbaar , 0 Bellers , 1 Chatters , 1 Beiden , Bezet , Offline
za 12 okt 2019 1:52:02 CEST , 2 Beschikbaar , 0 Bellers , 1 Chatters , 1 Beiden , Bezet , Offline
za 12 okt 2019 1:55:01 CEST , 0 Beschikbaar , 0 Bellers , 0 Chatters , 0 Beiden , 3 Bezet , 102 Offline
za 12 okt 2019 2:00:01 CEST , 0 Beschikbaar , 0 Bellers , 0 Chatters , 0 Beiden , 3 Bezet , 102 Offline
za 12 okt 2019 2:15:02 CEST , 0 Beschikbaar , 0 Bellers , 0 Chatters , 0 Beiden , 3 Bezet , 102 Offline
za 12 okt 2019 2:30:01 CEST , 0 Beschikbaar , 0 Bellers , 0 Chatters , 0 Beiden , 3 Bezet , 102 Offline
za 12 okt 2019 2:45:02 CEST , 0 Beschikbaar , 0 Bellers , 0 Chatters , 0 Beiden , 3 Bezet , 102 Offline
za 12 okt 2019 3:00:01 CEST , 0 Beschikbaar , 0 Bellers , 0 Chatters , 0 Beiden , 3 Bezet , 102 Offline
za 12 okt 2019 3:15:02 CEST , 0 Beschikbaar , 0 Bellers , 0 Chatters , 0 Beiden , 3 Bezet , 102 Offline
za 12 okt 2019 3:30:01 CEST , 0 Beschikbaar , 0 Bellers , 0 Chatters , 0 Beiden , 3 Bezet , 102 Offline
za 12 okt 2019 3:45:02 CEST , 1 Beschikbaar , 0 Bellers , 1 Chatters , 0 Beiden , Bezet , Offline
za 12 okt 2019 4:00:01 CEST , 1 Beschikbaar , 0 Bellers , 1 Chatters , 0 Beiden , Bezet , Offline
za 12 okt 2019 4:15:02 CEST , 1 Beschikbaar , 0 Bellers , 1 Chatters , 0 Beiden , Bezet , Offline
za 12 okt 2019 4:30:01 CEST , 1 Beschikbaar , 0 Bellers , 1 Chatters , 0 Beiden , Bezet , Offline
za 12 okt 2019 4:45:02 CEST , 1 Beschikbaar , 0 Bellers , 1 Chatters , 0 Beiden , Bezet , Offline
za 12 okt 2019 5:00:01 CEST , 1 Beschikbaar , 0 Bellers , 1 Chatters , 0 Beiden , Bezet , Offline
za 12 okt 2019 5:15:02 CEST , 0 Beschikbaar , 0 Bellers , 0 Chatters , 0 Beiden , 4 Bezet , 101 Offline
za 12 okt 2019 5:30:01 CEST , 0 Beschikbaar , 0 Bellers , 0 Chatters , 0 Beiden , 4 Bezet , 101 Offline
za 12 okt 2019 5:45:02 CEST , 0 Beschikbaar , 0 Bellers , 0 Chatters , 0 Beiden , 3 Bezet , 102 Offline
za 12 okt 2019 6:00:01 CEST , 0 Beschikbaar , 0 Bellers , 0 Chatters , 0 Beiden , 2 Bezet , 103 Offline
za 12 okt 2019 6:15:02 CEST , 0 Beschikbaar , 0 Bellers , 0 Chatters , 0 Beiden , 2 Bezet , 103 Offline
za 12 okt 2019 6:30:01 CEST , 0 Beschikbaar , 0 Bellers , 0 Chatters , 0 Beiden , 2 Bezet , 103 Offline
za 12 okt 2019 6:45:02 CEST , 0 Beschikbaar , 0 Bellers , 0 Chatters , 0 Beiden , 2 Bezet , 103 Offline
za 12 okt 2019 7:00:01 CEST , 0 Beschikbaar , 0 Bellers , 0 Chatters , 0 Beiden , 2 Bezet , 103 Offline
za 12 okt 2019 7:15:02 CEST , 0 Beschikbaar , 0 Bellers , 0 Chatters , 0 Beiden , 2 Bezet , 103 Offline
za 12 okt 2019 7:30:01 CEST , 2 Beschikbaar , 0 Bellers , 2 Chatters , 1 Beiden , Bezet , Offline
za 12 okt 2019 7:45:02 CEST , 1 Beschikbaar , 0 Bellers , 1 Chatters , 0 Beiden , Bezet , Offline
za 12 okt 2019 8:00:01 CEST , 3 Beschikbaar , 0 Bellers , 3 Chatters , 2 Beiden , Bezet , Offline
za 12 okt 2019 8:15:02 CEST , 4 Beschikbaar , 0 Bellers , 4 Chatters , 3 Beiden , Bezet , Offline
za 12 okt 2019 8:30:01 CEST , 1 Beschikbaar , 0 Bellers , 1 Chatters , 1 Beiden , Bezet , Offline
za 12 okt 2019 8:45:01 CEST , 5 Beschikbaar , 0 Bellers , 5 Chatters , 2 Beiden , Bezet , Offline
za 12 okt 2019 9:00:02 CEST , 7 Beschikbaar , 0 Bellers , 7 Chatters , 3 Beiden , Bezet , Offline
za 12 okt 2019 9:15:01 CEST , 8 Beschikbaar , 0 Bellers , 8 Chatters , 4 Beiden , Bezet , Offline
za 12 okt 2019 9:30:02 CEST , 9 Beschikbaar , 0 Bellers , 9 Chatters , 6 Beiden , 5 Bezet , 91 Offline
za 12 okt 2019 9:45:02 CEST , 9 Beschikbaar , 0 Bellers , 9 Chatters , 5 Beiden , 7 Bezet , 89 Offline
za 12 okt 2019 10:00:02 CEST , 8 Beschikbaar , 0 Bellers , 8 Chatters , 4 Beiden , 6 Bezet , 91 Offline
za 12 okt 2019 10:15:01 CEST , 8 Beschikbaar , 0 Bellers , 8 Chatters , 4 Beiden , 8 Bezet , 89 Offline
za 12 okt 2019 10:30:02 CEST , 9 Beschikbaar , 0 Bellers , 9 Chatters , 6 Beiden , 6 Bezet , 90 Offline
za 12 okt 2019 10:45:01 CEST , 5 Beschikbaar , 0 Bellers , 5 Chatters , 3 Beiden , 9 Bezet , 91 Offline
za 12 okt 2019 11:00:02 CEST , 8 Beschikbaar , 0 Bellers , 8 Chatters , 5 Beiden , 7 Bezet , 90 Offline
za 12 okt 2019 11:15:01 CEST , 7 Beschikbaar , 0 Bellers , 5 Chatters , 2 Beiden , 8 Bezet , 90 Offline
za 12 okt 2019 11:30:02 CEST , 14 Beschikbaar , 1 Bellers , 8 Chatters , 5 Beiden , 4 Bezet , 87 Offline
za 12 okt 2019 11:45:01 CEST , 14 Beschikbaar , 3 Bellers , 9 Chatters , 2 Beiden , 4 Bezet , 87 Offline
za 12 okt 2019 12:00:02 CEST , 13 Beschikbaar , 3 Bellers , 7 Chatters , 3 Beiden , 5 Bezet , 87 Offline
za 12 okt 2019 12:15:02 CEST , 17 Beschikbaar , 5 Bellers , 10 Chatters , 2 Beiden , 6 Bezet , 82 Offline
za 12 okt 2019 12:30:01 CEST , 14 Beschikbaar , 4 Bellers , 7 Chatters , 3 Beiden , 7 Bezet , 84 Offline
za 12 okt 2019 12:45:02 CEST , 18 Beschikbaar , 5 Bellers , 9 Chatters , 4 Beiden , 4 Bezet , 83 Offline
za 12 okt 2019 13:00:01 CEST , 14 Beschikbaar , 4 Bellers , 7 Chatters , 3 Beiden , 4 Bezet , 87 Offline
za 12 okt 2019 13:15:02 CEST , 14 Beschikbaar , 5 Bellers , 7 Chatters , 2 Beiden , 2 Bezet , 89 Offline
za 12 okt 2019 13:30:01 CEST , 12 Beschikbaar , 4 Bellers , 5 Chatters , 3 Beiden , 5 Bezet , 88 Offline
za 12 okt 2019 13:45:03 CEST , 16 Beschikbaar , 6 Bellers , 6 Chatters , 4 Beiden , 2 Bezet , 87 Offline
za 12 okt 2019 14:00:01 CEST , 16 Beschikbaar , 5 Bellers , 8 Chatters , 3 Beiden , 2 Bezet , 87 Offline
za 12 okt 2019 14:15:03 CEST , 12 Beschikbaar , 3 Bellers , 7 Chatters , 2 Beiden , 7 Bezet , 86 Offline
za 12 okt 2019 14:30:01 CEST , 13 Beschikbaar , 4 Bellers , 6 Chatters , 3 Beiden , 5 Bezet , 87 Offline
za 12 okt 2019 14:45:02 CEST , 14 Beschikbaar , 3 Bellers , 7 Chatters , 4 Beiden , 5 Bezet , 86 Offline
za 12 okt 2019 15:00:01 CEST , 12 Beschikbaar , 3 Bellers , 5 Chatters , 4 Beiden , 3 Bezet , 90 Offline
za 12 okt 2019 15:15:02 CEST , 11 Beschikbaar , 3 Bellers , 4 Chatters , 4 Beiden , 4 Bezet , 90 Offline
za 12 okt 2019 15:30:02 CEST , 11 Beschikbaar , 4 Bellers , 4 Chatters , 3 Beiden , 3 Bezet , 91 Offline
za 12 okt 2019 15:45:01 CEST , 10 Beschikbaar , 3 Bellers , 5 Chatters , 2 Beiden , 4 Bezet , 91 Offline
za 12 okt 2019 16:00:02 CEST , 10 Beschikbaar , 3 Bellers , 5 Chatters , 2 Beiden , 4 Bezet , 91 Offline
za 12 okt 2019 16:15:01 CEST , 11 Beschikbaar , 3 Bellers , 5 Chatters , 3 Beiden , 4 Bezet , 90 Offline
za 12 okt 2019 16:30:02 CEST , 9 Beschikbaar , 3 Bellers , 3 Chatters , 3 Beiden , 4 Bezet , 92 Offline
za 12 okt 2019 16:45:01 CEST , 12 Beschikbaar , 2 Bellers , 6 Chatters , 4 Beiden , 4 Bezet , 89 Offline
