vr 3 apr 2020 1:51:20 CEST , 3 Beschikbaar , 2 Bellers , 2 Chatters , 1 Bezet , 101 Offline tail /home/ray/scripts/pv.log
vr 3 apr 2020 1:51:39 CEST , 3 Beschikbaar , 2 Bellers , 2 Chatters , 1 Bezet , 101 Offline
vr 3 apr 2020 2:00:02 CEST , 2 Beschikbaar , 1 Bellers , 2 Chatters , 1 Bezet , 102 Offline
vr 3 apr 2020 2:15:02 CEST , 2 Beschikbaar , 1 Bellers , 2 Chatters , 1 Bezet , 102 Offline
vr 3 apr 2020 8:30:02 CEST , 6 Beschikbaar , 1 Bellers , 6 Chatters , 3 Bezet , 96 Offline
vr 3 apr 2020 8:45:01 CEST , 9 Beschikbaar , 2 Bellers , 9 Chatters , 1 Bezet , 95 Offline
vr 3 apr 2020 9:00:02 CEST , 8 Beschikbaar , 4 Bellers , 7 Chatters , 3 Bezet , 94 Offline
vr 3 apr 2020 9:15:02 CEST , 7 Beschikbaar , 4 Bellers , 6 Chatters , 3 Bezet , 95 Offline
vr 3 apr 2020 9:30:01 CEST , 8 Beschikbaar , 3 Bellers , 7 Chatters , 3 Bezet , 94 Offline
vr 3 apr 2020 9:45:02 CEST , 6 Beschikbaar , 2 Bellers , 5 Chatters , 5 Bezet , 94 Offline
vr 3 apr 2020 10:00:01 CEST , 6 Beschikbaar , 2 Bellers , 6 Chatters , 7 Bezet , 92 Offline
vr 3 apr 2020 10:15:02 CEST , 9 Beschikbaar , 6 Bellers , 6 Chatters , 4 Bezet , 92 Offline
vr 3 apr 2020 10:30:01 CEST , 9 Beschikbaar , 5 Bellers , 7 Chatters , 8 Bezet , 88 Offline
vr 3 apr 2020 10:45:01 CEST , 13 Beschikbaar , 9 Bellers , 10 Chatters , 6 Bezet , 86 Offline
vr 3 apr 2020 11:00:03 CEST , 12 Beschikbaar , 7 Bellers , 9 Chatters , 3 Bezet , 90 Offline
vr 3 apr 2020 11:15:02 CEST , 9 Beschikbaar , 6 Bellers , 6 Chatters , 7 Bezet , 89 Offline
vr 3 apr 2020 11:30:01 CEST , 11 Beschikbaar , 6 Bellers , 8 Chatters , 5 Bezet , 89 Offline
vr 3 apr 2020 11:45:02 CEST , 10 Beschikbaar , 5 Bellers , 7 Chatters , 5 Bezet , 90 Offline
vr 3 apr 2020 12:00:02 CEST , 9 Beschikbaar , 4 Bellers , 6 Chatters , 7 Bezet , 89 Offline
vr 3 apr 2020 12:15:01 CEST , 8 Beschikbaar , 5 Bellers , 5 Chatters , 5 Bezet , 92 Offline
vr 3 apr 2020 12:30:02 CEST , 12 Beschikbaar , 7 Bellers , 9 Chatters , 4 Bezet , 89 Offline
vr 3 apr 2020 12:45:02 CEST , 15 Beschikbaar , 8 Bellers , 12 Chatters , 3 Bezet , 87 Offline
vr 3 apr 2020 13:00:01 CEST , 14 Beschikbaar , 7 Bellers , 12 Chatters , 3 Bezet , 88 Offline
vr 3 apr 2020 13:15:02 CEST , 11 Beschikbaar , 5 Bellers , 8 Chatters , 6 Bezet , 88 Offline
vr 3 apr 2020 13:30:02 CEST , 14 Beschikbaar , 6 Bellers , 11 Chatters , 4 Bezet , 87 Offline
vr 3 apr 2020 13:45:01 CEST , 16 Beschikbaar , 9 Bellers , 13 Chatters , 3 Bezet , 86 Offline
vr 3 apr 2020 14:00:02 CEST , 13 Beschikbaar , 7 Bellers , 10 Chatters , 5 Bezet , 87 Offline
vr 3 apr 2020 14:15:02 CEST , 15 Beschikbaar , 9 Bellers , 12 Chatters , 4 Bezet , 86 Offline
vr 3 apr 2020 14:30:01 CEST , 11 Beschikbaar , 7 Bellers , 8 Chatters , 7 Bezet , 87 Offline
vr 3 apr 2020 14:45:02 CEST , 12 Beschikbaar , 7 Bellers , 9 Chatters , 8 Bezet , 85 Offline
vr 3 apr 2020 15:00:02 CEST , 10 Beschikbaar , 6 Bellers , 6 Chatters , 9 Bezet , 86 Offline
vr 3 apr 2020 15:15:01 CEST , 10 Beschikbaar , 6 Bellers , 7 Chatters , 10 Bezet , 85 Offline
vr 3 apr 2020 15:30:02 CEST , 9 Beschikbaar , 4 Bellers , 6 Chatters , 9 Bezet , 87 Offline
vr 3 apr 2020 15:45:02 CEST , 11 Beschikbaar , 6 Bellers , 9 Chatters , 8 Bezet , 86 Offline
vr 3 apr 2020 16:00:01 CEST , 12 Beschikbaar , 7 Bellers , 9 Chatters , 7 Bezet , 86 Offline
vr 3 apr 2020 16:15:02 CEST , 11 Beschikbaar , 5 Bellers , 9 Chatters , 8 Bezet , 86 Offline
vr 3 apr 2020 16:30:02 CEST , 10 Beschikbaar , 4 Bellers , 8 Chatters , 8 Bezet , 87 Offline
vr 3 apr 2020 16:45:01 CEST , 8 Beschikbaar , 5 Bellers , 5 Chatters , 12 Bezet , 85 Offline
vr 3 apr 2020 17:00:02 CEST , 13 Beschikbaar , 7 Bellers , 10 Chatters , 7 Bezet , 85 Offline
vr 3 apr 2020 17:15:01 CEST , 9 Beschikbaar , 3 Bellers , 7 Chatters , 7 Bezet , 89 Offline
vr 3 apr 2020 17:30:03 CEST , 12 Beschikbaar , 6 Bellers , 9 Chatters , 6 Bezet , 87 Offline
vr 3 apr 2020 17:45:02 CEST , 13 Beschikbaar , 6 Bellers , 9 Chatters , 5 Bezet , 87 Offline
vr 3 apr 2020 18:00:01 CEST , 14 Beschikbaar , 8 Bellers , 9 Chatters , 5 Bezet , 86 Offline
vr 3 apr 2020 18:15:01 CEST , 16 Beschikbaar , 7 Bellers , 12 Chatters , 3 Bezet , 86 Offline
vr 3 apr 2020 18:30:02 CEST , 14 Beschikbaar , 6 Bellers , 11 Chatters , 6 Bezet , 85 Offline
vr 3 apr 2020 18:45:02 CEST , 11 Beschikbaar , 3 Bellers , 10 Chatters , 7 Bezet , 87 Offline
vr 3 apr 2020 19:00:01 CEST , 13 Beschikbaar , 6 Bellers , 10 Chatters , 6 Bezet , 86 Offline
vr 3 apr 2020 19:15:04 CEST , 12 Beschikbaar , 5 Bellers , 11 Chatters , 8 Bezet , 85 Offline
vr 3 apr 2020 19:30:02 CEST , 12 Beschikbaar , 7 Bellers , 9 Chatters , 9 Bezet , 84 Offline
vr 3 apr 2020 19:45:01 CEST , 16 Beschikbaar , 9 Bellers , 13 Chatters , 6 Bezet , 83 Offline
vr 3 apr 2020 20:00:02 CEST , 13 Beschikbaar , 4 Bellers , 12 Chatters , 8 Bezet , 84 Offline
vr 3 apr 2020 20:15:02 CEST , 11 Beschikbaar , 6 Bellers , 9 Chatters , 10 Bezet , 84 Offline
vr 3 apr 2020 20:30:01 CEST , 11 Beschikbaar , 4 Bellers , 10 Chatters , 10 Bezet , 84 Offline
vr 3 apr 2020 20:45:02 CEST , 12 Beschikbaar , 3 Bellers , 11 Chatters , 7 Bezet , 86 Offline
vr 3 apr 2020 21:00:02 CEST , 12 Beschikbaar , 4 Bellers , 9 Chatters , 7 Bezet , 86 Offline
vr 3 apr 2020 21:15:02 CEST , 7 Beschikbaar , 4 Bellers , 4 Chatters , 10 Bezet , 88 Offline
vr 3 apr 2020 21:30:01 CEST , 10 Beschikbaar , 6 Bellers , 8 Chatters , 7 Bezet , 88 Offline
vr 3 apr 2020 21:45:02 CEST , 10 Beschikbaar , 5 Bellers , 8 Chatters , 8 Bezet , 87 Offline
vr 3 apr 2020 22:00:02 CEST , 13 Beschikbaar , 7 Bellers , 11 Chatters , 4 Bezet , 88 Offline
